City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Koslan,RU,63.4564,48.8989,31.44,87,100,8.3,overcast clouds
258,Azul,AR,-36.777,-59.8585,71.01,81,97,1.99,overcast clouds
259,Kavali,IN,14.9167,79.9833,77.31,85,97,11.56,overcast clouds
260,Verkhnyaya Sinyachikha,RU,57.976,61.6673,27.66,81,51,10.4,broken clouds
261,Bardiyah,LY,31.7561,25.0865,57.63,59,81,9.35,broken clouds
262,Iwanai,JP,42.9744,140.5089,43.65,97,100,5.53,overcast clouds
263,Brookhaven,US,31.5791,-90.4407,62.01,55,100,11.43,overcast clouds
264,Murbad,IN,19.25,73.4,84.2,74,8,6.91,haze
265,Iqaluit,CA,63.7506,-68.5145,14.0,73,75,20.71,light snow
266,Klaksvik,FO,62.2266,-6.589,41.0,93,75,19.57,light intensity drizzle
267,Lagoa,PT,39.05,-27.9833,59.34,82,100,21.65,overcast clouds
268,Bilma,NE,18.6853,12.9164,75.27,13,0,8.41,clear sky
269,Honningsvag,NO,70.9821,25.9704,35.6,75,40,12.66,scattered clouds
270,Saint-Joseph,RE,-21.3667,55.6167,77.0,83,0,5.75,clear sky
271,Bethel,US,41.3712,-73.414,53.01,97,100,1.01,overcast clouds
272,Amboasary,MG,-25.0333,46.3833,73.4,100,40,2.59,moderate rain
273,Ossora,RU,59.2353,163.0719,-1.35,80,22,7.34,few clouds
274,Aswan,EG,24.0934,32.907,69.58,15,0,15.5,clear sky
275,Novo Aripuana,BR,-5.1206,-60.3797,85.73,72,69,2.42,broken clouds
276,Buchmany,UA,51.0689,28.0421,39.11,95,100,9.42,overcast clouds
277,Buala,SB,-8.145,159.5921,80.19,81,16,7.78,few clouds
278,Richards Bay,ZA,-28.783,32.0377,69.37,74,97,7.36,overcast clouds
279,Shakawe,BW,-18.3667,21.85,68.95,74,10,2.55,clear sky
280,Arroyo,ES,41.6096,-4.7969,60.8,48,0,5.75,clear sky
281,Midleton,IE,51.9153,-8.1805,52.0,100,90,27.63,overcast clouds
282,Mackenzie,CA,55.2999,-123.1698,33.8,55,90,4.61,overcast clouds
283,Nortelandia,BR,-14.4547,-56.8028,87.51,55,35,3.47,scattered clouds
284,Turayf,SA,31.6725,38.6637,55.4,35,0,4.61,clear sky
285,Pemba,MZ,-12.974,40.5178,82.4,83,75,3.44,moderate rain
286,Rakke,EE,58.9817,26.2544,35.01,84,10,5.5,clear sky
287,Guaymas,MX,27.9333,-110.9,88.0,12,1,4.61,clear sky
288,Padang,ID,-0.9492,100.3543,76.96,87,100,3.83,overcast clouds
289,Krasnoselskiy,RU,45.3935,40.5985,46.0,70,86,8.1,light rain
290,Ducheng,CN,23.2373,111.5317,76.84,79,7,3.33,light rain
291,Dingle,PH,10.9995,122.6711,76.33,88,100,6.08,overcast clouds
292,Constantine,DZ,36.365,6.6147,62.6,59,40,8.05,scattered clouds
293,Acajutla,SV,13.5928,-89.8275,87.8,37,20,3.44,few clouds
294,Teahupoo,PF,-17.8333,-149.2667,84.2,65,20,2.3,light rain
295,Kedrovyy,RU,56.1667,91.8167,30.2,86,0,4.47,clear sky
296,Russell,US,32.3502,-85.1999,80.6,61,75,13.8,light rain
297,Biak,ID,-0.9131,122.8766,76.24,87,100,7.74,light rain
298,Chilliwack,CA,49.1747,-121.9443,46.99,87,100,3.44,moderate rain
299,Ajdabiya,LY,30.7554,20.2263,61.45,53,100,13.06,overcast clouds
300,Cherskiy,RU,68.75,161.3,-9.71,92,100,0.31,overcast clouds
301,Belmonte,BR,-15.8631,-38.8828,84.2,61,20,18.41,few clouds
302,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,33.8,40,0,8.95,clear sky
303,Nkhata Bay,MW,-11.6066,34.2907,74.53,83,100,4.27,overcast clouds
304,Naron,ES,43.5167,-8.1528,66.2,42,0,5.75,clear sky
305,Goure,NE,13.9835,10.2704,76.23,13,0,10.36,clear sky
306,Betsiamites,CA,48.9413,-68.646,30.2,86,90,17.27,light snow
307,Vadso,NO,70.0744,29.7487,37.4,75,20,9.22,few clouds
308,Guanaja,HN,16.4,-85.9,87.8,55,40,9.22,scattered clouds
309,Joshimath,IN,30.5667,79.5667,53.42,59,24,5.77,few clouds
310,Fare,PF,-16.7,-151.0167,82.11,73,20,21.43,light rain
311,Tevaitoa,PF,-16.7833,-151.5,81.81,74,18,22.62,few clouds
312,Behbahan,IR,30.5959,50.2417,59.0,25,0,8.25,clear sky
313,Hofn,IS,64.2539,-15.2082,34.84,55,98,21.09,overcast clouds
314,Lowestoft,GB,52.4752,1.7516,53.01,82,100,8.99,overcast clouds
315,Mount Gambier,AU,-37.8333,140.7667,57.2,94,75,4.61,broken clouds
316,Hof,DE,50.3167,11.9167,46.99,59,100,7.0,overcast clouds
